fold,model,clean_acc,clean_f1,eye_acc,eye_f1,mouth_acc,mouth_f1,eye_drop,mouth_drop
1,baseline,100.0,100.0,99.09,98.91,57.27,52.99,0.91,42.73
1,occluded,100.0,100.0,100.0,100.0,81.82,80.67,0.0,18.18
2,baseline,90.91,91.46,90.91,91.46,40.0,33.32,0.0,50.91
2,occluded,87.27,87.83,84.55,85.39,68.18,68.72,2.72,19.09
3,baseline,99.09,99.19,89.09,87.15,39.09,33.12,10.0,60.0
3,occluded,100.0,100.0,92.73,93.17,80.91,80.31,7.27,19.09
4,baseline,96.36,96.3,93.64,93.85,31.82,31.61,2.72,64.54
4,occluded,97.27,97.37,97.27,97.37,75.45,76.26,0.0,21.82
5,baseline,90.91,89.15,82.73,81.37,25.45,20.25,8.18,65.46
5,occluded,80.0,78.39,76.36,74.88,64.55,61.15,3.64,15.45
6,baseline,100.0,100.0,97.27,97.56,40.91,33.08,2.73,59.09
6,occluded,99.09,99.1,99.09,99.1,66.36,58.94,0.0,32.73
7,baseline,93.64,92.39,94.55,93.44,24.55,23.14,-0.91,69.09
7,occluded,90.0,89.61,87.27,87.15,79.09,79.98,2.73,10.91
8,baseline,96.36,96.31,95.45,95.16,29.09,20.66,0.91,67.27
8,occluded,95.45,95.7,91.82,91.82,83.64,84.68,3.63,11.81
9,baseline,92.73,93.29,92.73,93.26,8.18,8.23,0.0,84.55
9,occluded,87.27,88.06,87.27,88.06,56.36,58.03,0.0,30.91
10,baseline,98.18,97.92,90.91,89.81,58.18,47.74,7.27,40.0
10,occluded,98.18,97.97,90.91,90.01,90.91,90.73,7.27,7.27
